Overall Time cost(in secs.): 0.21993446350097656
Size of RS-repair: 245
Distribution of Representative Column : {'2': 49, '1': 196}
Time cost of PostClean(in secs.): 0.00380706787109375
RAC1P SEX REGION ST CIT  NATIVITY DIS DIVISION RAC2P POBP WAOB    ID
    1   2      1 25   1         1   2        1     1   24    1 14609
    8   1      1 42   1         1   2        2    67   17    1 25498
    9   1      4 53   1         1   2        9    68   53    1 31355
    1   1      2 26   1         1   2        3     1   27    1 15538
    1   1      3 24   1         1   2        5     1   17    1 13828
    1   2      3 12   1         1   2        5     1   12    1  7704
    1   1      2 29   1         1   2        4     1   20    1 17130
    2   2      2 17   1         1   2        3     2   17    1 10301
    1   2      2 55   1         1   2        3     1   42    1 31981
    1   2      2 39   1         1   2        3     1   39    1 22771
    1   2      1 36   1         1   2        2     1   36    1 19666
    9   1      4  6   1         1   2        9    68   48    1  4359
    1   2      3 45   1         1   2        5     1   17    1 26050
    1   2      3 22   1         1   1        7     1   22    1 13323
    1   2      3 48   1         1   2        7     1    1    1 28112
    1   1      4 53   1         1   2        9     1   53    1 31456
    9   1      1 36   1         1   2        2    68   36    1 19370
    6   2      3 24   1         1   2        5    43   24    1 13877
    1   1      2 27   1         1   1        4     1   27    1 16036
    6   1      4  6   1         1   2        9    57    6    1  3636
    2   1      1 42   1         1   2        2     2   42    1 24596
    1   1      2 17   1         1   2        3     1   17    1 11017
    2   1      2 18   1         1   2        3     2   55    1 11216
    1   2      4 56   1         1   2        9     1    6    1  4668
    9   2      9 72   2         1   1        0    68   72    2 32736
    1   1      4  6   1         1   2        9     1    6    1  1946
    1   1      2 17   1         1   2        3     1   53    1 10618
    1   2      3 48   1         1   2        7     1   48    1 27328
    1   1      2 29   1         1   2        4     1   29    1 16710
    1   2      2 27   1         1   2        4     1    4    1 16300
    1   1      1 42   1         1   2        2     1   42    1 24701
    1   1      3 13   1         1   1        5     1   13    1  8570
    2   1      3 51   1         1   2        5     2   24    1 30183
    1   1      4  6   1         1   2        9     1    6    1  2368
    9   1      4  6   1         1   2        9    68    6    1  3265
    1   1      3 51   1         1   2        5     1   51    1 30377
    1   2      2 20   1         1   1        4     1   20    1 12438
    6   2      4  8   1         1   2        8    43    8    1  5517
    1   2      4 53   1         1   2        9     1   53    1 31524
    2   2      2 26   1         1   2        3     2   26    1 15055
    1   1      3 48   1         1   2        7     1   48    1 29635
    1   1      3 37   3         1   2        5     1  316    3 22178
    1   1      3 48   1         1   1        7     1   12    1 28579
    9   1      4 41   1         1   2        9    68   41    1 24067
    1   2      3 47   1         1   2        6     1   47    1 26917
    1   2      2 18   1         1   2        3     1   18    1 11752
    1   2      3  5   1         1   2        7     1    5    1  1546
    1   2      2 39   1         1   2        3     1   40    1 22712
    9   1      3 12   1         1   2        5    68   12    1  7203
    9   1      3 47   1         1   1        6    68   26    1 26476
    1   2      4 53   1         1   2        9     1   53    1 31544
    1   2      3 21   1         1   2        6     1   21    1 12696
    1   2      1 34   1         1   2        2     1   34    1 18581
    1   1      4  6   1         1   2        9     1   20    1  3770
    2   2      3 48   1         1   1        7     2   22    1 28046
    1   1      3 13   1         1   2        5     1   13    1  9502
    8   1      3  5   1         1   2        7    67    4    1  1442
    1   1      3 51   1         1   2        5     1   27    1 30406
    1   1      4 53   1         1   2        9     1   53    1 31349
    1   1      2 27   1         1   1        4     1    8    1 16124
    1   2      3 48   1         1   2        7     1   36    1 27510
    8   2      4  6   1         1   2        9    67    6    1  5132
    1   2      2 29   1         1   2        4     1   29    1 16735
    1   2      3 28   1         1   2        6     1   28    1 16520
    2   2      3 37   1         1   2        5     2   37    1 21597
    1   2      3 48   1         1   2        7     1   40    1 27667
    1   1      3 51   1         1   1        5     1   26    1 30565
    1   1      3 12   1         1   2        5     1   12    1  7491
    6   1      4 15   1         1   1        9    45   15    1  9525
    1   2      4  6   1         1   2        9     1    6    1  4785
    1   2      1 23   1         1   2        1     1   23    1 13418
    2   2      1 42   1         1   1        2     2   36    1 24666
    1   2      3 24   1         1   2        5     1   36    1 13956
    2   1      3 13   1         1   2        5     2   22    1  9445
    1   2      1 23   1         1   2        1     1   36    1 13471
    9   2      2 31   1         1   2        3    68   39    1 22488
    1   1      4 49   1         1   2        8     1   49    1 29736
    1   1      3 22   1         1   1        7     1   22    1 13055
    8   2      1 42   1         1   2        2    67   36    1 24454
    9   1      9 72   2         1   2        0    68   72    2 32530
    2   1      3 48   1         1   2        7     2    6    1 29290
    2   1      3 13   1         1   2        5     2   24    1  8812
    1   1      1 36   1         1   1        2     1   36    1 20222
    9   2      4  6   1         1   2        9    68    6    1  2757
    2   1      2 39   1         1   2        3     2   36    1 23491
    1   2      4 35   1         1   2        8     1   35    1 19078
    1   1      4  6   1         1   2        9     1    6    1  5322
    1   1      2 18   1         1   2        3     1   18    1 11698
    9   2      3 45   1         1   2        5    68   15    1 26184
    1   1      2 39   1         1   2        3     1   39    1 22922
    1   1      3 48   1         1   2        7     1   48    1 29111
    1   2      3 21   1         1   2        6     1   21    1 12634
    1   1      1 42   1         1   2        2     1   42    1 25396
    1   1      1 34   1         1   2        2     1   13    1 18172
    1   2      3 48   1         1   2        7     1   48    1 27279
    9   2      3 48   1         1   2        7    68   48    1 28439
    2   2      3 13   1         1   1        5     2   12    1  9256
    1   1      4 16   1         1   2        8     1   31    1  9720
    1   1      3 12   1         1   1        5     1   55    1  6868
    2   2      3 12   1         1   2        5     2   20    1  7330
    9   2      2 27   1         1   2        4    68   27    1 16237
    1   2      2 29   1         1   2        4     1    5    1 16725
    9   1      4 53   2         1   2        9    68   66    2 30935
    1   1      2 18   1         1   2        3     1   18    1 11777
    2   1      4  6   1         1   1        9     2    6    1  1698
    1   1      1 42   1         1   2        2     1   42    1 25149
    1   1      4  6   1         1   1        9     1    6    1  3396
    1   2      1 25   1         1   2        1     1   25    1 14149
    1   1      3 21   1         1   2        6     1   21    1 12516
    1   1      3  5   1         1   2        7     1    5    1  1545
    1   1      4  6   1         1   2        9     1    6    1  2864
    1   2      2 17   1         1   2        3     1   17    1 10744
    1   1      3 12   1         1   2        5     1   12    1  7219
    9   2      3 48   1         1   2        7    68   48    1 27185
    1   2      3 12   1         1   1        5     1   45    1  6919
    1   1      2 39   1         1   2        3     1   39    1 23316
    1   1      2 26   1         1   2        3     1   18    1 15042
    2   2      3 13   1         1   2        5     2   13    1  9174
    8   2      2 18   1         1   2        3    67   18    1 11537
    1   1      2 19   1         1   2        4     1   19    1 12116
    1   2      1 36   1         1   2        2     1   36    1 20911
    1   2      2 26   1         1   2        3     1   26    1 15591
    9   1      4  8   1         1   1        8    68    6    1  5609
    1   2      4 32   1         1   2        8     1   40    1 17630
    1   2      2 29   1         1   2        4     1   29    1 17072
    2   2      3 37   1         1   1        5     2   40    1 21339
    1   1      3 12   1         1   1        5     1   48    1  8043
